site,titre,url,periode,personnes,date_scan
VTF,"
                                            Date vacances scolaires 2026
      ",https://www.vtf-vacances.com/sejours/fr_FR/dates-des-vacances-scolaires,11/07/2026 → 18/07/2026,3A + 1E,2026-05-13 13:56
VTF,"
                                            Vacances de la Toussaint : idées de",https://www.vtf-vacances.com/sejours/fr_FR/vacances-de-la-toussaint,11/07/2026 → 18/07/2026,3A + 1E,2026-05-13 13:56
VTF,"
                                            Vacances de Noël : Séjours tout com",https://www.vtf-vacances.com/sejours/fr_FR/vacances-de-noel,11/07/2026 → 18/07/2026,3A + 1E,2026-05-13 13:56
VTF,"
                                            Vacances de février : séjours ennei",https://www.vtf-vacances.com/sejours/fr_FR/vacances-de-fevrier,11/07/2026 → 18/07/2026,3A + 1E,2026-05-13 13:56
VTF,"
                                            Vacances de Pâques : séjours de rêv",https://www.vtf-vacances.com/sejours/fr_FR/vacances-de-paques,11/07/2026 → 18/07/2026,3A + 1E,2026-05-13 13:56
VTF,"
                                            Vos vacances d’été avec VTF : parte",https://www.vtf-vacances.com/sejours/fr_FR/vacances-d-ete,11/07/2026 → 18/07/2026,3A + 1E,2026-05-13 13:56
VTF,"
                                            Partir en vacances avec VTF
       ",https://www.vtf-vacances.com/sejours/fr_FR/partir-en-vacances-avec-vtf,11/07/2026 → 18/07/2026,3A + 1E,2026-05-13 13:56
VTF,"
                                            Préparer mon séjour
               ",https://www.vtf-vacances.com/sejours/fr_FR/partir-en-vacances-avec-vtf/preparer-mes-vacances,11/07/2026 → 18/07/2026,3A + 1E,2026-05-13 13:56
VTF,"
                                            Durée de séjour
                   ",https://www.vtf-vacances.com/sejours/fr_FR/sejours-a-la-carte,11/07/2026 → 18/07/2026,3A + 1E,2026-05-13 13:56
VTF,"
                                            Les villages vacances VTF
         ",https://www.vtf-vacances.com/sejours/fr_FR/decouvrir-villages-vacances-vtf,11/07/2026 → 18/07/2026,3A + 1E,2026-05-13 13:56
VTF,"
                                            Aides aux vacances
                ",https://www.vtf-vacances.com/sejours/fr_FR/aides-aux-vacances,11/07/2026 → 18/07/2026,3A + 1E,2026-05-13 13:56
VTF,"
                                                    Villages vacances Nouvelle ",https://www.vtf-vacances.com/sejours/fr_FR/region/nouvelle-aquitaine,11/07/2026 → 18/07/2026,3A + 1E,2026-05-13 13:56
VTF,"
                                                    Villages vacances Bretagne
",https://www.vtf-vacances.com/sejours/fr_FR/region/bretagne,11/07/2026 → 18/07/2026,3A + 1E,2026-05-13 13:56
VTF,"
                                                    Villages vacances Normandie",https://www.vtf-vacances.com/sejours/fr_FR/region/normandie,11/07/2026 → 18/07/2026,3A + 1E,2026-05-13 13:56
VTF,"
                                                    Villages vacances Occitanie",https://www.vtf-vacances.com/sejours/fr_FR/region/occitanie?search_etab_listing%5Benvironments%5D%5B%5D=MER&search_etab_listing%5Bcountries%5D%5B%5D=FR,11/07/2026 → 18/07/2026,3A + 1E,2026-05-13 13:56
VTF,"
                                                    Villages vacances PACA
    ",https://www.vtf-vacances.com/sejours/fr_FR/region/provence-alpes-cote-d-azur?search_etab_listing%5Benvironments%5D%5B%5D=MER&search_etab_listing%5Bcountries%5D%5B%5D=FR,11/07/2026 → 18/07/2026,3A + 1E,2026-05-13 13:56
VTF,"
                                                    Villages vacances Var
     ",https://www.vtf-vacances.com/sejours/fr_FR/region/provence-alpes-cote-d-azur/var,11/07/2026 → 18/07/2026,3A + 1E,2026-05-13 13:56
VTF,"
                                                    Villages vacances Haute-Sav",https://www.vtf-vacances.com/sejours/fr_FR/region/auvergne-rhone-alpes/haute-savoie,11/07/2026 → 18/07/2026,3A + 1E,2026-05-13 13:56
VTF,"
                                                    Villages vacances Savoie
  ",https://www.vtf-vacances.com/sejours/fr_FR/region/auvergne-rhone-alpes/savoie,11/07/2026 → 18/07/2026,3A + 1E,2026-05-13 13:56
VTF,"
                                                    Villages vacances Isère
   ",https://www.vtf-vacances.com/sejours/fr_FR/region/auvergne-rhone-alpes/isere,11/07/2026 → 18/07/2026,3A + 1E,2026-05-13 13:56
VTF,"
                                                    Villages vacances Puy-de-Dô",https://www.vtf-vacances.com/sejours/fr_FR/region/auvergne-rhone-alpes/puy-de-dome,11/07/2026 → 18/07/2026,3A + 1E,2026-05-13 13:56
VTF,"
                                                    Villages vacances Hautes Al",https://www.vtf-vacances.com/sejours/fr_FR/region/provence-alpes-cote-d-azur/hautes-alpes,11/07/2026 → 18/07/2026,3A + 1E,2026-05-13 13:56
VTF,"
                                                    Villages vacances Doubs
   ",https://www.vtf-vacances.com/sejours/fr_FR/region/bourgogne-franche-comte/doubs,11/07/2026 → 18/07/2026,3A + 1E,2026-05-13 13:56
VTF,"
                                                    Villages vacances Haut-Rhin",https://www.vtf-vacances.com/sejours/fr_FR/region/grand-est/haut-rhin,11/07/2026 → 18/07/2026,3A + 1E,2026-05-13 13:56
VTF,"
                                                    Villages vacances Drôme
   ",https://www.vtf-vacances.com/sejours/fr_FR/region/auvergne-rhone-alpes/drome,11/07/2026 → 18/07/2026,3A + 1E,2026-05-13 13:56
